Value.date,Value.code,Value.open,Value.high,Value.low,Value.close,Value.change,Value.pctChange,Value.accumulatedVol,Value.accumulatedVal,Value.nmVolume,Value.nmValue,Value.ptVolume,Value.ptValue
2022-09-27,VNINDEX,1177.51,1180.75,1166.44,1166.54,-7.81,-0.665049,466804990,1.06224E+13,415319330,9.20092E+12,51485660,1.42149E+12
2022-09-26,VNINDEX,1186.41,1190.27,1159.12,1174.35,-28.93,-2.404262,757322500,1.7559E+13,702130223,1.59826E+13,55192277,1.57644E+12
2022-09-23,VNINDEX,1212.61,1216.59,1201.45,1203.28,-11.42,-0.94015,485643164,1.13001E+13,443474468,9.94657E+12,42168696,1.35357E+12
2022-09-22,VNINDEX,1200.34,1214.7,1196.64,1214.7,4.15,0.342819,473801324,1.16735E+13,436228785,1.01935E+13,37572539,1.48001E+12
2022-09-21,VNINDEX,1213.47,1217.28,1204.68,1210.55,-8.38,-0.687488,391942824,9.78025E+12,325758197,7.52923E+12,66184627,2.25102E+12
2022-09-20,VNINDEX,1212.08,1218.93,1199.71,1218.93,13.5,1.119932,474197216,1.1166E+13,413031821,9.5679E+12,61165395,1.59808E+12
2022-09-19,VNINDEX,1231.45,1233.46,1202.07,1205.43,-28.6,-2.31761,702307025,1.67161E+13,642152831,1.49008E+13,60154194,1.81527E+12
2022-09-16,VNINDEX,1243.15,1246.17,1230.37,1234.03,-11.63,-0.933642,632370935,1.55101E+13,594453000,1.45446E+13,37917935,9.65431E+11
2022-09-15,VNINDEX,1247.34,1250.93,1243.45,1245.66,4.89,0.39411,430318683,1.13087E+13,386210366,9.79361E+12,44108317,1.51507E+12
2022-09-14,VNINDEX,1229.76,1242.17,1228.51,1240.77,-7.63,-0.611182,608485199,1.43702E+13,574967232,1.34785E+13,33517967,8.91622E+11
2022-09-13,VNINDEX,1251.1,1252.35,1243.87,1248.4,-1.22,-0.09763,474778679,1.27733E+13,464202179,1.2497E+13,10576500,2.7625E+11
2022-09-12,VNINDEX,1255.16,1257.8,1248.97,1249.62,0.84,0.067266,410185286,1.07479E+13,390724335,1.00518E+13,19460951,6.9617E+11
2022-09-09,VNINDEX,1241.26,1248.78,1228.54,1248.78,14.18,1.14855,586025787,1.37996E+13,542039800,1.25948E+13,43985987,1.20486E+12
2022-09-08,VNINDEX,1251.06,1251.36,1234.6,1234.6,-8.57,-0.689367,599611824,1.44153E+13,557779800,1.27234E+13,41832024,1.69195E+12
2022-09-07,VNINDEX,1274.6,1275.07,1243.17,1243.17,-34.23,-2.679662,852271781,2.03318E+13,796593600,1.88268E+13,55678181,1.50497E+12
2022-09-06,VNINDEX,1279.58,1286.92,1277.4,1277.4,0.05,0.003914,581454959,1.45609E+13,537987600,1.31178E+13,43467359,1.44313E+12
2022-09-05,VNINDEX,1280.26,1285.7,1275.35,1277.35,-3.16,-0.246777,524682900,1.3402E+13,466166300,1.16256E+13,58516600,1.77644E+12
2022-08-31,VNINDEX,1276.49,1285.29,1274.99,1280.51,1.12,0.087542,499312581,1.27022E+13,462420100,1.16831E+13,36892481,1.01916E+12
2022-08-30,VNINDEX,1274.97,1287.65,1271.01,1279.39,8.59,0.675952,526096366,1.38359E+13,473770000,1.22136E+13,52326366,1.6223E+12
2022-08-29,VNINDEX,1263.43,1271.56,1249.17,1270.8,-11.77,-0.917689,845897224,2.05623E+13,793997300,1.88069E+13,51899924,1.75545E+12
2022-08-26,VNINDEX,1291.29,1295.12,1280.05,1282.57,-6.31,-0.489572,668955634,1.60753E+13,614354500,1.46811E+13,54601134,1.39416E+12
2022-08-25,VNINDEX,1280.39,1289.18,1279.45,1288.88,11.72,0.917661,623966064,1.54823E+13,562124700,1.36741E+13,61841364,1.80813E+12
2022-08-24,VNINDEX,1275.57,1280.36,1272.33,1277.16,6.35,0.499681,601884844,1.51956E+13,519810800,1.28006E+13,82074044,2.395E+12
2022-08-23,VNINDEX,1253.45,1270.81,1253.45,1270.81,10.38,0.823528,564723969,1.40568E+13,520796300,1.2524E+13,43927669,1.53281E+12
2022-08-22,VNINDEX,1264.64,1270.57,1255.83,1260.43,-8.75,-0.689422,619447855,1.48391E+13,566785900,1.31401E+13,52661955,1.69904E+12
2022-08-19,VNINDEX,1272.23,1280,1263.45,1269.18,-4.48,-0.351742,607623179,1.49205E+13,568209800,1.35732E+13,39413379,1.34723E+12
2022-08-18,VNINDEX,1273.45,1283.15,1268.64,1273.66,-1.62,-0.127031,599082777,1.53515E+13,558424300,1.40814E+13,40658477,1.27015E+12
2022-08-17,VNINDEX,1276.78,1280.61,1271.97,1275.28,0.59,0.046286,712253187,1.76744E+13,644581600,1.54822E+13,67671587,2.19218E+12
2022-08-16,VNINDEX,1274.08,1275.93,1271.11,1274.69,0.49,0.038456,617719573,1.49454E+13,569526100,1.34657E+13,48193473,1.47964E+12
2022-08-15,VNINDEX,1268.56,1274.24,1267.14,1274.2,11.87,0.940325,634199273,1.55086E+13,585580500,1.39627E+13,48618773,1.54588E+12
2022-08-12,VNINDEX,1250.66,1262.33,1248.65,1262.33,10.26,0.819443,542036380,1.30571E+13,508817800,1.21084E+13,33218580,9.4866E+11
2022-08-11,VNINDEX,1267.37,1268.03,1245.85,1252.07,-4.43,-0.352567,810553640,1.8777E+13,765336500,1.72576E+13,45217140,1.51939E+12
2022-08-10,VNINDEX,1255.69,1260.36,1253.89,1256.5,-2.35,-0.186678,651757132,1.43928E+13,584384800,1.26929E+13,67372332,1.69982E+12
2022-08-09,VNINDEX,1260.36,1263.14,1252.84,1258.85,2.1,0.167098,721636388,1.59682E+13,655262300,1.42597E+13,66374088,1.70845E+12
2022-08-08,VNINDEX,1252.36,1258.84,1252.04,1256.75,4.01,0.320098,699342402,1.57999E+13,634015600,1.40729E+13,65326802,1.72705E+12
2022-08-05,VNINDEX,1250.25,1253.75,1245.05,1252.74,-1.41,-0.112427,698639752,1.55628E+13,604391400,1.35299E+13,94248352,2.03289E+12
2022-08-04,VNINDEX,1252.49,1257.38,1247.38,1254.15,4.39,0.351267,724748664,1.70068E+13,655935800,1.51239E+13,68812864,1.88292E+12
2022-08-03,VNINDEX,1233.84,1250.2,1232.41,1249.76,8.14,0.655595,789514899,1.75678E+13,702358600,1.52651E+13,87156299,2.30268E+12
2022-08-02,VNINDEX,1230.31,1241.91,1224.11,1241.62,10.27,0.834044,817689411,1.68865E+13,734388200,1.51764E+13,83301211,1.71012E+12
2022-08-01,VNINDEX,1209.05,1231.35,1206.46,1231.35,25.02,2.074059,708708592,1.61956E+13,681871300,1.52349E+13,26837292,9.60719E+11
2022-07-29,VNINDEX,1214.32,1217.84,1206.33,1206.33,-1.79,-0.148164,590317626,1.50346E+13,537058300,1.2916E+13,53259326,2.11853E+12
2022-07-28,VNINDEX,1201.77,1214.03,1198.68,1208.12,17.08,1.434041,668855185,1.53469E+13,620546700,1.39561E+13,48308485,1.39084E+12
2022-07-27,VNINDEX,1180.83,1191.04,1178.58,1191.04,5.97,0.503768,445143436,1.00238E+13,387799200,7.98824E+12,57344236,2.03559E+12
2022-07-26,VNINDEX,1189.2,1194.15,1184.44,1185.07,-3.43,-0.288599,434802305,9.44683E+12,388328300,8.06988E+12,46474005,1.37695E+12
2022-07-25,VNINDEX,1191.43,1198.16,1184.32,1188.5,-6.26,-0.523955,437845674,9.9281E+12,410066000,8.75991E+12,27779674,1.16819E+12
2022-07-22,VNINDEX,1199.16,1202.69,1194.76,1194.76,-3.71,-0.309561,477947632,1.0869E+13,448428100,9.78566E+12,29519532,1.08332E+12
2022-07-21,VNINDEX,1195.03,1201.91,1194.89,1198.47,4.33,0.362604,530311053,1.21193E+13,500949000,1.11109E+13,29362053,1.00844E+12
2022-07-20,VNINDEX,1188.12,1198.63,1185.82,1194.14,15.81,1.341729,648003308,1.41677E+13,601098600,1.29416E+13,46904708,1.22608E+12
2022-07-19,VNINDEX,1176.1,1180.46,1168.99,1178.33,1.84,0.156397,532684860,1.1262E+13,479006800,9.65247E+12,53678060,1.60955E+12
2022-07-18,VNINDEX,1184.74,1184.93,1174.7,1176.49,-2.76,-0.234047,523728315,1.12337E+13,480514500,1.00798E+13,43213815,1.15395E+12
2022-07-15,VNINDEX,1183.15,1189.66,1178.12,1179.25,-2.92,-0.247003,604014132,1.31164E+13,543854200,1.13791E+13,60159932,1.73731E+12
2022-07-14,VNINDEX,1170.7,1182.17,1170.04,1182.17,8.25,0.702774,534741861,1.09679E+13,490512400,9.91914E+12,44229461,1.04874E+12
2022-07-13,VNINDEX,1173.46,1182.21,1170.92,1173.92,-0.9,-0.076607,563998337,1.15455E+13,522379700,1.05334E+13,41618637,1.01207E+12
2022-07-12,VNINDEX,1154.31,1174.82,1153.55,1174.82,19.53,1.690485,525110173,1.06629E+13,475429100,9.29695E+12,49681073,1.36597E+12
2022-07-11,VNINDEX,1161.3,1165.6,1144.55,1155.29,-16.02,-1.367699,538713157,1.14451E+13,488732000,1.01487E+13,49981157,1.29649E+12
2022-07-08,VNINDEX,1174.53,1177.18,1164.23,1171.31,4.83,0.414066,476371868,1.0424E+13,437189300,9.34887E+12,39182568,1.07512E+12
2022-07-07,VNINDEX,1148.97,1166.48,1142.8,1166.48,16.87,1.467454,411791070,9.06163E+12,362816600,7.75951E+12,48974470,1.30212E+12
2022-07-06,VNINDEX,1167.25,1175.26,1147.63,1149.61,-31.68,-2.681814,556462728,1.25689E+13,511773800,1.10927E+13,44688928,1.47617E+12
2022-07-05,VNINDEX,1198.42,1200.99,1181.29,1181.29,-14.24,-1.191104,612002709,1.38066E+13,559493000,1.23792E+13,52509709,1.42745E+12
2022-07-04,VNINDEX,1206.47,1208.96,1192.63,1195.53,-3.37,-0.281091,442818959,1.00868E+13,403314600,8.92292E+12,39504359,1.1639E+12
2022-07-01,VNINDEX,1193.04,1202.41,1170.95,1198.9,1.3,0.10855,534064508,1.14188E+13,498479000,1.05259E+13,35585508,8.9286E+11
2022-06-30,VNINDEX,1218.22,1220.51,1197.6,1197.6,-20.49,-1.682142,510217412,1.13267E+13,471576000,1.02454E+13,38641412,1.08135E+12
2022-06-29,VNINDEX,1208.22,1219.58,1207.38,1218.09,-0.01,-0.000821,560588815,1.184E+13,519299900,1.04192E+13,41288915,1.42077E+12
2022-06-28,VNINDEX,1202.41,1221.74,1198.99,1218.1,15.28,1.270348,588386089,1.44257E+13,534186600,1.25208E+13,54199489,1.90496E+12
2022-06-27,VNINDEX,1189.12,1203.51,1187.38,1202.82,17.34,1.462699,526954723,1.23153E+13,429735700,9.7577E+12,97219023,2.5576E+12
