Currency,Date,Closing Price (VND),Open (VND),High (VND),Low (VND),,,
VNINDEX,10/28/2014,583.13,578.73,584.43,578.44,,,
VNINDEX,10/29/2014,591.2,585.68,591.83,585.68,,,
VNINDEX,10/30/2014,589.14,593.09,594.3,589.14,,,
VNINDEX,10/31/2014,600.84,591.12,600.84,588.16,,,
VNINDEX,11/3/2014,603.15,603.44,606.94,602.51,,,
VNINDEX,11/4/2014,598.39,601.55,604.47,598.39,,,
VNINDEX,11/5/2014,597.01,599.64,602.53,593.53,,,
VNINDEX,11/6/2014,597.85,599.2,601.28,596.73,,,
VNINDEX,11/7/2014,602.59,598.41,603.32,597.73,,,
VNINDEX,11/10/2014,602.12,604.75,607.5,602.12,,,
VNINDEX,11/11/2014,604.23,603.48,608.68,601.85,,,
VNINDEX,11/12/2014,604.01,605.14,606.36,603.12,,,
VNINDEX,11/13/2014,603.16,605.25,607.29,602.62,,,
VNINDEX,11/14/2014,600.36,601.69,602.51,596.95,,,
VNINDEX,11/17/2014,600.93,602.4,604.63,600.93,,,
VNINDEX,11/18/2014,594.25,600.86,602.53,594.25,,,
VNINDEX,11/19/2014,588.35,594.88,597.29,588.35,,,
VNINDEX,11/20/2014,593.32,592.17,594.76,589.84,,,
VNINDEX,11/21/2014,588.03,594.71,596.02,588.03,,,
VNINDEX,11/24/2014,582.53,585.08,586.54,580.92,,,
VNINDEX,11/25/2014,585.91,583.53,588.42,583.53,,,
VNINDEX,11/26/2014,576.04,587.58,588.16,575.09,,,
VNINDEX,11/27/2014,572.89,575.63,575.82,567.36,,,
VNINDEX,11/28/2014,566.58,570.61,572.12,565.1,,,
VNINDEX,12/1/2014,568.01,566.22,571.69,565.09,,,
VNINDEX,12/2/2014,569.43,570.44,570.79,568.55,,,
VNINDEX,12/3/2014,574.88,570.48,575.95,570.44,,,
VNINDEX,12/4/2014,578.38,576.63,581.27,576.63,,,
VNINDEX,12/5/2014,578.76,578.52,582.42,578.18,,,
VNINDEX,12/8/2014,571.68,577.44,577.44,569.24,,,
VNINDEX,12/9/2014,555.31,567.55,567.55,554.51,,,
VNINDEX,12/10/2014,557.19,550.35,558.47,544.78,,,
VNINDEX,12/11/2014,550.11,549.78,557.96,547.55,,,
VNINDEX,12/12/2014,553.93,547.69,554.82,547.69,,,
VNINDEX,12/15/2014,547.93,550.8,554.35,547.93,,,
VNINDEX,12/16/2014,535.14,545.33,545.66,535,,,
VNINDEX,12/17/2014,518.22,535.27,536.64,513.06,,,
VNINDEX,12/18/2014,528.45,522.9,528.6,521.33,,,
VNINDEX,12/19/2014,523.09,527.61,533.3,522.1,,,
VNINDEX,12/22/2014,537.54,527.28,537.54,527.28,,,
VNINDEX,12/23/2014,537.88,535.61,543.22,532.78,,,
VNINDEX,12/24/2014,539.44,540.46,541.73,536.79,,,
VNINDEX,12/25/2014,532.01,536.21,537.47,531.52,,,
VNINDEX,12/26/2014,533.37,531.84,537.89,527.41,,,
VNINDEX,12/29/2014,532.68,533.37,538.83,528.63,,,
VNINDEX,12/30/2014,537.57,531.07,537.57,526.61,,,
VNINDEX,12/31/2014,545.63,538.68,546.62,537.91,,,
VNINDEX,1/5/2015,544.45,545.43,549.22,543.78,,,
VNINDEX,1/6/2015,549.66,539.08,550.11,538.82,,,
VNINDEX,1/7/2015,552.05,548.44,555.83,548.44,,,
VNINDEX,1/8/2015,553.47,553.49,556.8,552.15,,,
VNINDEX,1/9/2015,569.73,555.53,570.52,555.53,,,
VNINDEX,1/12/2015,574.32,575.86,579.73,574.07,,,
VNINDEX,1/13/2015,580.6,573.26,580.65,573.26,,,
VNINDEX,1/14/2015,577.01,579.77,582.21,571.67,,,
VNINDEX,1/15/2015,577.74,577.01,581.24,575.36,,,
VNINDEX,1/16/2015,574.81,576.88,578.51,574.08,,,
VNINDEX,1/19/2015,571.51,576.5,579.06,570.1,,,
VNINDEX,1/20/2015,572.22,570.78,574.96,570.14,,,
VNINDEX,1/21/2015,569.12,573.54,574.41,569.12,,,
VNINDEX,1/22/2015,574.54,569.74,576.48,567.82,,,
VNINDEX,1/23/2015,582.38,578.22,583.57,577.57,,,
VNINDEX,1/26/2015,580.64,584.89,586.76,580.64,,,
VNINDEX,1/27/2015,579.3,580.45,584.28,575.5,,,
VNINDEX,1/28/2015,583.76,579.56,584.35,578.59,,,
VNINDEX,1/29/2015,583.28,584.18,585.66,580.37,,,
VNINDEX,1/30/2015,576.07,584.08,584.08,574.46,,,
VNINDEX,2/2/2015,570.37,576.07,579.73,570.37,,,
VNINDEX,2/3/2015,557.47,572.56,574.83,557.47,,,
VNINDEX,2/4/2015,561.45,556.93,561.69,553.21,,,
VNINDEX,2/5/2015,567.17,562.17,568.22,562.05,,,
VNINDEX,2/6/2015,574.13,569.03,574.36,569.03,,,
VNINDEX,2/9/2015,573.55,574.06,577.04,572.79,,,
VNINDEX,2/10/2015,574.52,575.74,578.42,574.24,,,
